Team,x,y,image
Portland Trail Blazers,-288.0,160.0,1
Sacramento Kings,-298.0,60.0,2
Golden State Warriors,-307.0,48.0,3
Los Angeles Lakers,-283.0,-12.0,4
Phoenix Suns,-197.0,-49.0,5
Dallas Mavericks,11.0,-76.0,6
Oklahoma City Thunder,-3.0,-38.0,7
New Orleans Pelicans,87.0,-116.0,8
San Antonio Spurs,-6.0,-121.0,9
Houston Rockets,35.0,-118.0,10
Memphis Grizzlies,95.0,-37.0,11
Atlanta Hawks,175.0,-56.0,12
Charlotte Hornets,220.0,-22.0,13
Orlando Magic,225.0,-130.0,14
Miami Heat,248.0,-174.0,15
Washington Wizards,266.0,41.0,16
Philadelphia 76ers,268.0,66.0,17
New York Knicks,287.0,82.0,18
Boston Celtics,304.0,103.0,19
Cleveland Cavaliers,186.0,72.0,20
Detroit Pistons,168.0,90.0,21
Indiana Pacers,140.0,44.0,22
Chicago Bulls,113.0,71.0,23
Milwaukee Bucks,104.0,131.0,24
Minnesota Timberwolves,47.0,126.0,25
Denver Nuggets,-92.0,34.0,26
Utah Jazz,-172.0,62.0,27
