,0
0,Portland Trail Blazers
1,Sacramento Kings
2,Golden State Warriors
3,Los Angeles Lakers
4,Phoenix Suns
5,Dallas Mavericks
6,Oklahoma City Thunder
7,New Orleans Pelicans
8,San Antonio Spurs
9,Houston Rockets
10,Memphis Grizzlies
11,Atlanta Hawks
12,Charlotte Hornets
13,Orlando Magic
14,Miami Heat
15,Washington Wizards
16,Philadelphia 76ers
17,New York Knicks
18,Boston Celtics
19,Cleveland Cavaliers
20,Detroit Pistons
21,Indiana Pacers
22,Chicago Bulls
23,Milwaukee Bucks
24,Minnesota Timberwolves
25,Denver Nuggets
26,Utah Jazz
